MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000134,231250,Bromley,South,Outer,Conservative,56.58622293,68.671679,17.4,80,16.97762926,5.71474826,35942.16359,0.899725813,57.4,192
E02000135,168500,Bromley,South,Outer,Conservative,86.06621143,68.902815,26.5,77.7,43.49702075,11.88482745,22603.91095,0.567014993,25.3,66
E02000136,335000,Bromley,South,Outer,Conservative,12.5446928,57.71648,22.7,80.35,15.04888268,5.849582173,34834.39064,1.396918894,72.5,59
E02000137,250000,Bromley,South,Outer,Conservative,43.23322409,64.643496,17.3,79.7,15.18016867,3.861455652,45204.33551,1.157272477,72.8,197
E02000138,281000,Bromley,South,Outer,Conservative,38.90621252,64.075101,16,85.05,14.2641129,3.367463026,49093.50418,1.086270643,72.2,180
E02000139,248250,Bromley,South,Outer,Conservative,48.43770342,70.345964,21.8,81.65,16.84514003,4.734411085,38703.91003,1.023422861,67.1,118
E02000140,190000,Bromley,South,Outer,Conservative,42.92072912,61.086929,27.4,79.2,15.65725656,9.388888889,23489.46668,0.960617995,45.9,55
E02000141,238997.5,Bromley,South,Outer,Conservative,75.62151736,69.293948,23.8,80.65,30.37463977,7.373156711,32857.86962,0.895581015,64.6,112
E02000142,300000,Bromley,South,Outer,Conservative,46.98544699,63.596862,20.1,80.2,14.78575739,4.093836247,45497.6511,1.289978678,76.4,125
E02000144,275000,Bromley,South,Outer,Conservative,44.81386328,66.80106,17.9,84.8,19.59451676,5.062786526,44724.77573,1.058731402,68,132
E02000145,171500,Bromley,South,Outer,Conservative,7.355170427,61.649765,28.4,79.2,19.34207272,9.64604161,24227.65657,0.943127962,50.4,54
E02000146,250000,Bromley,South,Outer,Conservative,47.82656908,63.8395,21,79.7,13.08265257,4.431768319,37735.05043,1.091505131,73.3,162
E02000147,445000,Bromley,South,Outer,Conservative,35.65143974,60.685155,17.9,86.8,14.24269043,3.875573687,55508.08637,1.484134464,85.7,121
E02000148,440000,Bromley,South,Outer,Conservative,23.58914066,59.984814,19.9,85.6,11.34396355,3.89690089,50081.14267,1.394986707,84.5,95
E02000149,225000,Bromley,South,Outer,Conservative,41.54247392,63.207058,25.3,81.6,11.9097042,7.03465982,29404.3876,1.151738997,67.1,71
E02000150,333000,Bromley,South,Outer,Conservative,27.68425842,63.046342,23.5,84.3,16.41719555,3.948296122,43368.66507,1.363782567,81.6,86
E02000151,423000,Bromley,South,Outer,Conservative,36.05652567,59.704251,20.7,86.2,8.898864537,3.376553214,52695.69551,1.396793587,91.4,105
E02000152,265000,Bromley,South,Outer,Conservative,26.63713031,62.340231,24.5,81.05,16.00730371,8.010091454,29542.68275,1.110560427,61.2,81
E02000153,362500,Bromley,South,Outer,Conservative,34.61897771,62.063185,22.3,84.3,8.510638298,3.159990047,47622.27624,1.488461538,92.6,109
E02000154,271750,Bromley,South,Outer,Conservative,38.6952979,63.952758,20.8,83.65,13.04183943,4.5,40859.7541,1.265715153,76,90
E02000155,220000,Bromley,South,Outer,Conservative,38.15550542,59.855177,25.5,81.65,10.36929761,5.626450116,32408.55235,1.179260713,82.2,103
E02000156,351115.5,Bromley,South,Outer,Conservative,31.5527918,59.996693,20.9,82.85,10.60856623,3.47553945,46521.18472,1.369848612,85.3,162
E02000157,327500,Bromley,South,Outer,Conservative,32.81307457,58.199397,20.5,85.95,8.023606228,3.453648403,47996.08749,1.367575758,90.6,100
E02000158,285000,Bromley,South,Outer,Conservative,34.51052997,57.781097,22.7,83.9,12.20803911,6.76357164,33393.84218,1.223577236,71.7,63
E02000159,430000,Bromley,South,Outer,Conservative,11.81067582,60.393423,21.3,85.8,9.762184381,3.665865385,50127.46514,1.627864678,88.1,102
E02000160,335000,Bromley,South,Outer,Conservative,9.421471972,62.678208,21.9,82,6.466395112,4.063647491,44672.30986,1.478773585,86.8,108
E02000161,283750,Bromley,South,Outer,Conservative,49.26119837,62.092747,21.9,84.75,11.67657551,3.57306459,45000.89445,1.388839418,90.6,116
E02000162,280000,Bromley,South,Outer,Conservative,5.276563063,57.971014,22.4,83.2,9.457642313,4.5,35374.45539,1.289719626,74.1,79
E02000163,395000,Bromley,South,Outer,Conservative,6.773799837,61.385621,22.3,84.1,7.111111111,3.585858586,45352.19032,1.544921875,84.5,87
E02000165,239750,Bromley,South,Outer,Conservative,12.57506182,66.884315,27.4,82.9,4.684173172,4.172731684,35786.73426,1.705685619,87.8,90
E02006782,275000,Bromley,South,Outer,Conservative,29.63917526,62.460774,23.7,81.05,23.16945607,6.684280053,32275.44789,1.121319961,69.8,85
E02006787,315000,Bromley,South,Outer,Conservative,51.18684525,64.893337,21.8,83.4,15.5254148,4.736587724,40664.8869,1.142056691,78.4,90
E02006789,320000,Bromley,South,Outer,Conservative,2.864874745,60.454263,25.1,83.8,4.060360921,4.289215686,38750.40739,1.649887303,84.5,94
E02000166,495000,Camden,Central,Inner,Labour,26.64439962,67.125189,16.5,83.95,20.62089854,6.495646034,42650.39229,0.699745547,45.1,99
E02000167,922500,Camden,Central,Inner,Labour,36.98649882,65.395267,11.2,84.85,15.18126888,3.341556403,71771.21059,0.801598236,55.6,113
E02000168,397500,Camden,Central,Inner,Labour,123.1707317,71.24327,15.2,76.3,21.78169359,5.466778806,43197.39143,0.528429986,42,92
E02000169,927750,Camden,Central,Inner,Labour,66.2747194,65.549299,11.7,82.3,24.11941862,3.752642706,72851.39492,0.981305235,55.5,104
E02000170,520000,Camden,Central,Inner,Labour,108.6347725,75.209882,12.6,81.2,25.67762053,5.006637588,49794.82917,0.639077341,44.6,114
E02000171,492500,Camden,Central,Inner,Labour,156.7126966,70.3121,14.2,85.85,22.92146329,5.72128228,46318.29575,0.576527698,43.3,106
E02000172,322500,Camden,Central,Inner,Labour,158.18508,69.734897,21.3,77.2,37.43963733,9.596808064,25248.44919,0.384137602,21.8,64
E02000173,713500,Camden,Central,Inner,Labour,100.6806215,71.23127,12,82.45,29.90228013,4.068096396,60005.89946,0.599887924,39.5,107
E02000174,430500,Camden,Central,Inner,Labour,160.3811618,73.731926,16.7,78.4,32.10924948,6.631832797,31968.61434,0.425170068,30.7,84
